filename,int-bounds,big-arr,big-arr-10x,linked,dlinked,bintree
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_labenginecodeqcommonhuffman.c_swaplist.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxdriversgpudrmradeonmkregtable.c_INIT_LIST_HEAD.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxtoolsusbusbiplibsrclist.h___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_kphp-kdbutiltftp.c_list_insert.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_gitcompat..list.h___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_kphp-kdblistslists-data.c_ltree_merge.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxtoolstestingselftestsseccomp..kselftest_harness.h___register_test.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxtoolsusbusbiplibsrclist.h_INIT_LIST_HEAD.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_rufussrclocalization.h_list_init.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_linuxtoolstestingselftestsuevent..kselftest_harness.h___register_test.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_gitrefs..list.h___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_rufussrcext2fskernel-list.h___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_kphp-kdbcopyexeccopyexec-data.c_tlist_clear.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_gitnegotiator..list.h___list_del.c,0,NA,NA,NA,NA,NA
/home/cissakind/repos/new_jotai/doublyLinkedBenchmarks/extr_gitcompatwin32....list.h___list_del.c,0,NA,NA,NA,NA,NA
