name;static_instructions;dynamic_instructions
extr_FFmpeglibavformatoggdec.h_ogg_find_stream.c;4;4
extr_linuxtoolstestingselftestspowerpcpmuebbmulti_ebb_procs_test.c_sigint_handler.c;2;2
extr_nginxsrchttpngx_http_parse.c_ngx_http_parse_status_line.c;13;170
extr_radare2librasmarchxtensagnuxtensa-modules.c_Field_t_Slot_xt_flix64_slot0_set.c;7;7
extr_linuxdriversacpiacpi_video.c_acpi_video_get_device_type.c;4;4
extr_linuxdriversnetethernetfaradayftmac100.c_ftmac100_txdes_set_skb.c;2;2
extr_linuxdriversttyserialuartlite.c_ulite_stop_rx.c;6;6
extr_linuxdriversmediadvb-frontendscx24117.c_cx24117_clone_params.c;4;4
extr_h2olibhandlermimemap.c_on_unlink.c;3;3
extr_rufussrcext2fsclosefs.c_test_root.c;10;10
extr_opensslcryptoparams.c_OSSL_PARAM_get_uint32.c;9;9
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_ssl_Slot_xt_flix64_slot0_encode.c;2;2
extr_netdatalibnetdatalog..inlined.h_str2ul.c;6;6
extr_emscriptensystemliblibcmuslsrclocalepleval.c_parseop.c;12;62
extr_linuxdriversnetphyaquantia.c_aquantia_config_aneg.c;5;5
extr_emscriptensystemliblibcmuslsrcthreadpthread_attr_get.c_pthread_attr_getdetachstate.c;4;4
extr_obs-studiolibobsaudio-monitoringosx....graphicsvec2.h_vec2_zero.c;2;2
extr_linuxarchsparcpromp1275.c_prom_cif_init.c;2;2
extr_linuxtoolsiioiio_utils.c_calc_digits.c;15;35
extr_redisdepsjemalloctestunitjunk.c_watch_junking.c;3;3
extr_SoftEtherVPNsrcCedarClient.c_CtGetUseSecure.c;9;9
extr_nodemcu-firmwareappmqttmqtt_msg.c_append_message_id.c;8;8
extr_wcdbandroidsqlciphersqlite3.c_countLookasideSlots.c;9;9
extr_linuxarchsparccryptodes_glue.c_encrypt_to_decrypt.c;4;4
extr_FFmpeglibavformatmxfdec.c_mxf_match_uid.c;13;13
extr_opensslcryptoasn1tasn_prn.c_ASN1_PCTX_set_str_flags.c;2;2
extr_darwin-xnupexpertgendevice_tree.c_DTInit.c;6;6
extr_hashcatsrcmodulesmodule_11500.c_module_init.c;86;86
extr_linuxdriversnetteamteam.c_team_mcast_rejoin_count_set.c;4;4
extr_darwin-xnuosfmkkerntask.c_task_copy_fields_for_exec.c;3;3
extr_linuxsoundpciymfpciymfpci_main.c_snd_ymfpci_pcm_vol_info.c;7;7
extr_linuxdriverspcipcieaer.c_pci_rootport_aer_stats_incr.c;9;9
extr_linuxdriversnetvmxnet3vmxnet3_ethtool.c_vmxnet3_set_ethtool_ops.c;2;2
extr_h2ot00unitlibcommon........libcommoncache.c_h2o_cache_calchash.c;12;1790
extr_nginxsrchttpngx_http_variables.c_ngx_http_variable_https.c;4;4
extr_hashcatsrcmodulesmodule_09200.c_module_init.c;90;90
extr_linuxdriversiommuintel_irq_remapping.c_map_ioapic_to_ir.c;4;4
extr_darwin-xnuosfmki386trap.c_set_recovery_ip.c;2;2
extr_FFmpeglibavfilteraf_aiir.c_multiply.c;43;6139
extr_linuxfsecryptfsecryptfs_kernel.h_ecryptfs_set_file_private.c;2;2
extr_radare2librasmarchxtensagnuxtensa-modules.c_Operand_br8_decode.c;3;3
extr_linuxdriversmddm-bio-prison-v2.c___promote.c;7;7
extr_radare2librbinformatomfomf.c_r_bin_omf_get_bits.c;12;12
extr_nodemcu-firmwareapplualdump.c_MaybeByteSwap.c;19;1027
extr_linuxsoundpciemu10k1p16v.c_snd_p16v_volume_info.c;7;7
extr_mongooseexamplesnRF52httprttRTTSEGGER_RTT.c__strlen.c;11;203
extr_linuxdriversgpuhost1xhwhost1x01.c_host1x01_init.c;8;8
extr_linuxdriversvlynqvlynq.c_vlynq_set_remote_irq.c;5;5
extr_radare2libreggrlccmpcmpc.c_mpc_input_suppress_enable.c;2;2
extr_linuxdriversscsibfabfa_cs.h_bfa_trc_stop.c;2;2
extr_redissrcendianconv.c_memrev16.c;2;2
extr_linuxsoundsocpxaspitz.c_spitz_get_jack.c;5;5
extr_linuxdriverspariscccio-dma.c_ccio_find_ioc.c;4;4
extr_skynetlualib-srcsprotosproto.c_uint32_to_uint64.c;5;5
extr_linuxnetnetfilteripsetip_set_hash_ipportip.c_hash_ipportip4_data_next.c;5;5
extr_numpynumpycoresrcumathufunc_object.c__initialize_variable_parts.c;6;6
extr_linuxdriversmtdnandonenandonenand_base.c_flexonenand_region.c;5;5
extr_linuxdriversmediaradiowl128xfmdrv_rx.c_fm_rx_reset_station_info.c;5;5
extr_linuxfsdebugfsfile.c_debugfs_size_t_get.c;4;4
extr_zstdprogramsfileio.c_FIO_setCompressionType.c;2;2
extr_kittyglfwwindow.c__glfwInputWindowMonitor.c;2;2
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_xsr_br_Slot_inst_encode.c;2;2
extr_darwin-xnubsdnetcontent_filter.c_cfil_data_start.c;11;11
extr_linuxdriversmediadvb-frontendslgdt330x.c_lgdt330x_get_tune_settings.c;5;5
extr_tenginemodulesngx_http_upstream_check_modulengx_http_upstream_check_module.c_ngx_http_upstream_check_parse_status_line.c;13;170
extr_hashcatsrcconvert.c_matches_separator.c;19;2047
extr_linuxdriversnetwirelesstiwlcoremain.c_wl1271_op_get_survey.c;5;5
extr_linuxfsminixitree_common.c_nblocks.c;33;33
extr_mpvaudiofilteraf_scaletempo.c_output_overlap_s16.c;3;3
extr_linuxdriversdmaioat..dmaengine.h_dma_cookie_assign.c;9;9
extr_labenginecoderenderercommontr_image_png.c_BufferedFileRead.c;14;14
extr_labenginecodeqcommoncommon.c_Com_PlayerNameToFieldString.c;55;1756
extr_reactoswin32ssgdidibdib4bpp.c_DIB_4BPP_VLine.c;3;3
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_xsr_icountlevel_Slot_inst_encode.c;2;2
extr_linuxsoundisaopti9xxmiro.c_snd_miro_info_preamp.c;7;7
extr_libuvtesttest-shutdown-close.c_close_cb.c;2;2
extr_linuxdriversnetbondingbond_main.c_bond_fold_stats.c;4;4
extr_redisdepshiredissds.c_sdsll2str.c;39;65
extr_reactossdklib3rdpartyfreetypesrcpfrpfrsbit.c_pfr_bitwriter_decode_rle2.c;17;17
extr_linuxdriversmddm-io.c_retrieve_io_and_region_from_bio.c;9;9
extr_linuxdriversstagingrtl8188eucorertw_wlan_util.c_UpdateBrateTblForSoftAP.c;1;1
extr_linuxtoolsliblockdep....librbtree.c_rb_left_deepest_node.c;8;8
extr_linuxdriversgpudrmradeonsi_dpm.c_si_set_valid_flag.c;3;3
extr_linuxfsecryptfscrypto.c_set_extent_mask_and_shift.c;9;9
extr_linuxdriverscryptoamcccrypto4xx_core.c_crypto4xx_get_gdp.c;7;7
extr_linuxdriversnetethernetbrocadebnabna_enet.c_bna_enet_uninit.c;3;3
extr_curltestslibtestlib1533.c_reset_data.c;5;5
extr_disquedepshiredisdict.c__dictReset.c;4;4
extr_stbtestsstb.c_stb_adler32_old.c;23;3325
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_extui_Slot_inst_encode.c;2;2
extr_reactosdlldirectxwined3dcompiler_43hlsl.tab.c_yystrlen.c;6;201
extr_linuxdriverssbuscharbbc_i2c.c_bbc_i2c_getdev.c;9;9
extr_hashcatsrcmodulesmodule_19800.c_module_init.c;88;88
extr_reactossdklib3rdpartyzlibcontribminizipioapi.c_fill_fopen64_filefunc.c;16;16
extr_linuxdriversmddm.c_dm_init_normal_md_queue.c;6;6
extr_linuxdriverstargetiscsicxgbitcxgbit.h_cxgbit_sock_reset_wr_list.c;3;3
extr_kphp-kdbtexttext-data.c_list_contained.c;32;107
extr_reactosdllwin32urlmonuri.c_ipv4toui.c;19;2305
extr_emscriptentestsfreetypesrcbaseftstroke.c_ft_stroke_border_get_counts.c;22;22
extr_radare2librasmarchxtensagnuxtensa-modules.c_Field_bbi4_Slot_inst_set.c;7;7
extr_libgit2depsregexregex_internal.h_bitset_mask.c;3;3
extr_openpilotpandaboardsafetysafety_chrysler.h_chrysler_init.c;2;2
extr_linuxtoolsperfutilevlist.c_perf_evlist__set_selected.c;2;2
extr_radare2librasmarchxtensagnuxtensa-modules.c_Field_sae_Slot_inst_set.c;13;13
extr_linuxsoundsocintelbaytrailsst-baytrail-ipc.c_sst_byt_stream_set_bits.c;3;3
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_rsr_excvaddr_Slot_inst_encode.c;2;2
extr_reactossdklibdriversipnetworkinterface.c_GetInterfaceIPv4Address.c;6;6
extr_linuxarcharm64kvmvgic-sys-reg-v3.c_access_gic_sre.c;7;7
extr_radare2librasmarchxtensagnuxtensa-modules.c_Field_m_Slot_inst_set.c;7;7
extr_linuxdriversnetteamteam_mode_loadbalance.c_lb_select_tx_port_get_name.c;4;4
extr_linuxdriversblockparidepcd.c_pcd_check_events.c;9;9
extr_linuxsoundpcihdapatch_ca0132.c_ca0132_alt_xbass_xover_slider_info.c;6;6
extr_reactosbootfreeldrfreeldrlibfsbtrfs.c_next_length.c;20;29
extr_linuxfsnfsnfs3proc.c_nfs3_proc_unlink_setup.c;5;5
extr_tenginemodulesngx_http_upstream_check_modulengx_http_upstream_check_module.c_ngx_http_upstream_check_ssl_hello_init.c;15;15
extr_linuxdriverscryptoqatqat_c62xadf_c62x_hw_data.c_get_num_accels.c;9;9
extr_linuxdriversnetethernetamdxgbexgbe-phy-v2.c_xgbe_phy_sfp_verify_eeprom.c;15;1031
extr_linuxdriversscsismartpqismartpqi_init.c_pqi_aio_path_disabled.c;5;5
extr_linuxdriverscryptochelsiochcr_algo.c_dsgl_walk_init.c;5;5
extr_linuxdriversusbwusbcorerh.c_wusbhc_rh_get_hub_status.c;3;3
extr_linuxdriversinputrmi4rmi_f54.c_rmi_f54_get_pixel_fmt.c;5;5
extr_linuxdriversnetusbrtl8150.c_pull_skb.c;4;4
extr_linuxtoolsperfuistdio....utilthread.h_thread__set_priv.c;2;2
extr_micropythonportscc3200bootmgrmain.c_qstr_data.c;3;3
extr_linuxfsnfsnfs4proc.c_nfs4_sequence_attach_slot.c;9;9
extr_linuxdriverssocfsldpioqbman-portal.c_qbman_release_desc_set_rcdi.c;9;9
extr_linuxdriversnetethernethisiliconhns3hns3pfhclge_main.c_hclge_check_speed_dup.c;11;11
extr_linuxdriversgpudrmdrm_panel.c_drm_panel_detach.c;4;4
extr_linuxdriversmediadvb-frontendscx24120.c_cx24120_read_ber.c;7;7
extr_openpilotphonelibsnanovgfontstash.h_fons__atlasRemoveNode.c;8;8
extr_linuxdriversmdbcachebset.c_bch_btree_keys_init.c;10;10
extr_linuxdriversinfinibandhwocrdmaocrdma_verbs.c_ocrdma_hwq_inc_head.c;5;5
extr_linuxfsnilfs2btree.c_nilfs_btree_node_set_level.c;2;2
extr_tmuxinput-keys.c_input_split2.c;11;11
extr_FFmpeglibswresampleswresample.c_buf_set.c;6;6
extr_kphp-kdbsearchsearch-y-data.c_move_item_rates.c;10;10
extr_linuxdriversmediaceccec-adap.c_cec_log_addr2idx.c;4;4
extr_linuxdriversinfinibandhwi40iwi40iw_ctrl.c_i40iw_get_encoded_wqe_size.c;9;29
extr_nginxsrcstreamngx_stream_variables.c_ngx_stream_variable_proxy_protocol_addr.c;10;10
extr_netdatacollectorschecks.plugin....daemon..libnetdatainlined.h_str2uint64_t.c;6;6
extr_linuxdriversgpudrmamddisplaydcbiosdce112command_table_helper2_dce112.c_clock_source_id_to_atom.c;8;8
extr_redisdepsjemallocsrczone.c_zone_statistics.c;4;4
extr_linuxdriversnetplipplip.c_plip_searchfor.c;4;4
extr_linuxtoolslibtraceeventevent-parse.h_tep_set_flag.c;2;2
extr_linuxdriversisdngigasetusb-gigaset.c_gigaset_initbcshw.c;3;3
extr_linuxdriversmediausbpvrusb2pvrusb2-hdw.c_ctrl_cleardirty_input.c;3;3
extr_linuxdriversiioorientationhid-sensor-incl-3d.c_incl_3d_adjust_channel_bit_mask.c;5;5
extr_radare2librasmarchxtensagnuxtensa-modules.c_Field_combined3e2c5767_fld70xt_flix64_slot3_Slot_xt_flix64_slot3_set.c;19;19
extr_radare2librflagflag.c_count_flags.c;3;3
extr_reactossdklib3rdpartylibxml2buf.c_xmlBufSetAllocationScheme.c;6;6
extr_linuxsoundpcies1968.c_snd_es1968_alloc_apu_pair.c;5;5
extr_linuxdriversmediausbdvb-usbcinergyT2-fe.c_cinergyt2_fe_get_tune_settings.c;3;3
extr_php-srcsapilitespeedlsapi_main.c_skip_slash.c;9;9
extr_libuvsrcunixlinux-syscalls.c_uv__inotify_add_watch.c;4;4
extr_linuxdriversmediausbzr364xxzr364xx.c_zr364xx_stop_acquire.c;3;3
extr_linuxdriversmediapcicobaltcobalt-v4l2.c_cobalt_g_parm.c;6;6
extr_linuxdriversmediacommonv4l2-tpgv4l2-tpg-core.c_tpg_update_mv_step.c;29;29
extr_emscriptentestsfreetypesrcwinfontswinfnt.c_fnt_cmap_char_next.c;16;16
extr_h2ot00unitlibcommonsocket.c_test_adjust_notsent_lowat.c;4;4
extr_linuxkernelirqsettings.h_irq_settings_clr_disable_unlazy.c;4;4
extr_gitcompatregexregex_internal.h_bitset_merge.c;3;3
extr_linuxdriversusbhostdwc_otgdwc_otg_pcd.c_assign_perio_tx_fifo.c;4;4
extr_reactosdlldirectxwinewined3dglsl_shader.c_glsl_vertex_pipe_pixel_shader.c;8;8
extr_linuxsoundsocshrcarcore.c_rsnd_rdai_ssi_lane_ctrl.c;5;5
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_max_Slot_xt_flix64_slot0_encode.c;2;2
extr_libuvsrctimer.c_uv_timer_set_repeat.c;2;2
extr_toxcoretoxcoreassoc.c_odd_min9_is_prime.c;12;12
extr_libgit2srcrevwalk.c_git_revwalk_simplify_first_parent.c;2;2
extr_linuxdriverscryptoqatqat_c62xadf_c62x_hw_data.c_adf_clean_hw_data_c62x.c;3;3
extr_reactoswin32ssgdidibdib24bppc.c_DIB_24BPP_HLine.c;17;17
extr_ccvlib3rdpartysqlite3sqlite3.c_transferJoinMarkings.c;8;8
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_src_Slot_xt_flix64_slot1_encode.c;2;2
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libutf32be.h_utf32be_wctomb.c;16;16
extr_linuxdriversstagingrtl8192uieee80211ieee80211.h_ieee80211_is_empty_essid.c;12;12
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_xsr_ccompare0_Slot_inst_encode.c;2;2
extr_labq3map2q3map2lightmaps.c_AllocLMBlock.c;13;13
extr_labenginecoderenderergl2tr_vbo.c_R_VaoPackTangent.c;43;43
extr_darwin-xnubsdnetkpi_interface.c_ifnet_set_metric.c;5;5
extr_hashcatsrcmodulesmodule_11860.c_module_init.c;87;87
extr_linuxdriversnetwirelessathath9kar5008_phy.c_ar5008_hw_set_radar_conf.c;5;5
extr_linuxdriversnetethernetsamsungsxgbesxgbe_desc.c_sxgbe_init_tx_desc.c;2;2
extr_linuxdriversgpudrmnouveaunvkmsubdevclkmcp77.c_calc_P.c;16;16
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_security.c_secmicclear.c;7;7
extr_linuxdriversgpudrmamddisplaydcvirtualvirtual_link_encoder.c_virtual_link_encoder_construct.c;17;17
extr_linuxdriversstagingrtl8723bshalHalPhyRf_8723B.c_ConfigureTxpowerTrack_8723B.c;21;21
extr_mongooseexamplesESP8266_RTOSusermongoose.c_cs_base64_init.c;4;4
extr_linuxarchpowerpcplatformscellspufsswitch.c_init_priv1.c;18;18
extr_opensslcryptoconfconf_lib.c_CONF_set_default_method.c;3;3
extr_mpvplayersub.c_get_order.c;4;4
extr_emscriptensystemlibpthreadlibrary_pthread_stub.c_emscripten_atomic_exchange_u8.c;3;3
extr_linuxdriversstagingrtl8723bshalodm.c_odm_RSSIMonitorInit.c;2;2
extr_linuxdriversmediausbstkwebcamstk-webcam.c_stk_v4l_vm_close.c;4;4
extr_gitsha1dcubc_check.c_ubc_check.c;2;2
extr_ijkplayerijkmediaijksdlandroidijksdl_codec_android_mediaformat_java.c_setup_aformat.c;11;11
extr_linuxdriversstaginggreybuspower_supply.c_get_psp_from_gb_prop.c;8;8
extr_linuxsoundpciau88x0au88x0_a3d.c_snd_vortex_a3d_hrtf_info.c;6;6
extr_xhyvesrcpci_e82545.c_e82545_rx_enable.c;2;2
extr_kittykittyline-buf.c_linebuf_index.c;3;3
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_s32c1i_Slot_inst_encode.c;2;2
extr_linuxarchx86kvmvmx.c_handle_external_interrupt.c;3;3
extr_jqsrcjv_alloc.c_jv_nomem_handler.c;3;3
extr_hashcatsrcmodulesmodule_00900.c_module_init.c;86;86
extr_anypixelfirmwaredisplayThirdPartySPLsrcstm32f0xx_tim.c_TI2_Config.c;23;23
extr_linuxkerneleventshw_breakpoint.c_hw_breakpoint_copy_attr.c;9;9
extr_anypixelfirmwarecontrollerThirdPartylwip-1.4.1srccorepbuf.c_pbuf_clen.c;9;9
extr_linuxdriversnetwirelessrealtekrtlwifirtl8723ae..wifi.h_set_hal_start.c;3;3
extr_darwin-xnubsddevmunge.c_munge_wwws.c;10;10
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_wsr_misc2_Slot_inst_encode.c;2;2
extr_linuxarchpowerpckerneltraps.c_emulate_popcntb_inst.c;26;26
extr_linuxtoolsperfuibrowsers....utilordered-events.h_ordered_events__set_copy_on_queue.c;2;2
