name;static_instructions;dynamic_instructions
extr_FFmpeglibavformatoggdec.h_ogg_find_stream.c;9;9
extr_nginxsrchttpngx_http_parse.c_ngx_http_parse_status_line.c;33;221
extr_linuxdriversacpiacpi_video.c_acpi_video_get_device_type.c;8;8
extr_linuxdriversttyserialuartlite.c_ulite_stop_rx.c;6;6
extr_rufussrcext2fsclosefs.c_test_root.c;10;10
extr_opensslcryptoparams.c_OSSL_PARAM_get_uint32.c;9;9
extr_netdatalibnetdatalog..inlined.h_str2ul.c;6;6
extr_emscriptensystemliblibcmuslsrclocalepleval.c_parseop.c;11;73
extr_linuxtoolsiioiio_utils.c_calc_digits.c;12;26
extr_nodemcu-firmwareappmqttmqtt_msg.c_append_message_id.c;8;8
extr_wcdbandroidsqlciphersqlite3.c_countLookasideSlots.c;7;9
extr_linuxarchsparccryptodes_glue.c_encrypt_to_decrypt.c;16;16
extr_hashcatsrcmodulesmodule_11500.c_module_init.c;86;86
extr_linuxdriverspcipcieaer.c_pci_rootport_aer_stats_incr.c;9;9
extr_h2ot00unitlibcommon........libcommoncache.c_h2o_cache_calchash.c;9;1789
extr_hashcatsrcmodulesmodule_09200.c_module_init.c;90;90
extr_linuxdriversiommuintel_irq_remapping.c_map_ioapic_to_ir.c;10;10
extr_FFmpeglibavfilteraf_aiir.c_multiply.c;38;6390
extr_radare2librbinformatomfomf.c_r_bin_omf_get_bits.c;14;14
extr_nodemcu-firmwareapplualdump.c_MaybeByteSwap.c;16;1152
extr_mongooseexamplesnRF52httprttRTTSEGGER_RTT.c__strlen.c;8;266
extr_linuxdriversvlynqvlynq.c_vlynq_set_remote_irq.c;5;5
extr_linuxdriverspariscccio-dma.c_ccio_find_ioc.c;9;9
extr_numpynumpycoresrcumathufunc_object.c__initialize_variable_parts.c;10;10
extr_linuxdriversmtdnandonenandonenand_base.c_flexonenand_region.c;8;8
extr_darwin-xnubsdnetcontent_filter.c_cfil_data_start.c;9;11
extr_tenginemodulesngx_http_upstream_check_modulengx_http_upstream_check_module.c_ngx_http_upstream_check_parse_status_line.c;33;221
extr_hashcatsrcconvert.c_matches_separator.c;12;1793
extr_linuxfsminixitree_common.c_nblocks.c;31;33
extr_mpvaudiofilteraf_scaletempo.c_output_overlap_s16.c;8;8
extr_linuxdriversdmaioat..dmaengine.h_dma_cookie_assign.c;9;9
extr_labenginecoderenderercommontr_image_png.c_BufferedFileRead.c;14;14
extr_reactoswin32ssgdidibdib4bpp.c_DIB_4BPP_VLine.c;19;19
extr_redisdepshiredissds.c_sdsll2str.c;32;52
extr_linuxtoolsliblockdep....librbtree.c_rb_left_deepest_node.c;8;8
extr_linuxdriversgpudrmradeonsi_dpm.c_si_set_valid_flag.c;11;11
extr_linuxfsecryptfscrypto.c_set_extent_mask_and_shift.c;12;12
extr_stbtestsstb.c_stb_adler32_old.c;23;3835
extr_reactosdlldirectxwined3dcompiler_43hlsl.tab.c_yystrlen.c;6;201
